Study Hours per Week,Attendance Rate,Previous Grades,Passed
3.4,,59.7,Yes
13.4,78.1,77.1,Yes
2.4,78.9,81.1,nan
16.4,48.1,63.3,Yes
,76.9,65,No
2.3,40.6,74.5,Yes
7.6,62.4,49.2,Yes
11.9,74.9,65.6,No
7.3,79.2,61.6,Yes
10.1,50.8,69.2,No
13.7,69.3,47.5,No
9,90.9,70.5,No
5.3,55.4,69.3,Yes
8.5,31.9,94.7,No
17.1,85.6,,No
18.4,56.2,99.7,nan
-0.1,62.2,,nan
15.5,77.6,84.2,No
11.3,76.5,,No
14.6,95.4,79.8,No
7.2,70.2,39.1,Yes
1.2,76.4,34.4,Yes
12.9,41.1,56.4,No
5.3,87.6,50.4,Yes
3.1,61.2,35.5,No
3.4,139.6,89.3,Yes
13,70.7,54.3,No
10.7,83.5,72,No
13.9,87.8,,No
13.3,73.2,63.3,Yes
7.9,83.7,45.7,nan
9.6,120.1,93,No
,59.9,62.8,Yes
8.9,30.1,77.7,Yes
5.2,48.9,24.2,Yes
12,94.9,69.5,No
15.4,65.4,64.1,Yes
5.9,,59.5,Yes
16.4,89.5,79.5,No
10.6,61.9,54.9,No
11.2,59.4,60.8,No
1.5,66.1,66.6,No
1,33.7,78,nan
10.7,80.6,61.3,No
13.9,88.9,62.6,Yes
6.6,55.7,62.5,Yes
18.4,44,62.4,Yes
13.7,56.8,45.2,Yes
5.5,94.9,76.4,Yes
10.2,91.1,77.4,Yes
22.4,79.3,40.6,Yes
3.8,107.8,58.2,No
12.6,41.2,,Yes
,70.8,66.6,Yes
13.5,86.2,60.2,Yes
16.3,90.8,48.3,Yes
8.1,91.1,83.9,No
15.6,89.5,54.5,Yes
,101.4,75.3,Yes
10.3,90.2,93.8,Yes
13.9,51.9,66.8,No
7,65.9,86.3,Yes
10.1,41.1,72,No
9.1,94.9,80.2,No
14,98.9,61.2,Yes
,50.6,51.8,No
9.5,67.4,58.1,Yes
17.7,39.9,59.7,No
17.7,72.6,69,Yes
14.2,58.5,200,Yes
7.4,51.6,41.7,nan
6.9,74.5,67.4,No
5.9,112.6,69.7,Yes
14.7,90.9,65.8,Yes
3.9,70,49.3,Yes
13.4,74,71.2,Yes
4.6,112.6,70.6,Yes
14.1,100.2,77.4,No
10.1,68.8,61.7,Yes
16.7,85,69.5,Yes
15.7,,73.4,No
17.2,75.5,65.7,No
17.3,90.3,45,No
10.7,95.4,31,Yes
4.2,62.2,52.8,Yes
4.7,95,39.4,Yes
-0.4,78,68.8,Yes
4.6,69.2,49.7,No
10.3,113.2,55.2,No
7.2,67.8,91.6,No
9.1,52.8,59.1,No
12.5,61.6,82.8,No
8.5,89.5,65.6,Yes
4.4,,43.4,Yes
9.7,91.6,64.4,No
5.5,57.9,30.2,Yes
8.6,73.5,68.3,Yes
16.7,119.2,51,No
8.6,57.3,64.7,No
18.9,34.6,55.2,No
17.2,102.3,82.8,Yes
7.1,47,65.6,Yes
4.4,,60.3,No
9.7,89.6,57.6,No
15.8,88.8,68.2,Yes
7.5,27.5,59.3,Yes
14.5,68.1,30.3,No
16,92,,No
6.1,115.6,65,Yes
6.6,50.2,53.7,Yes
13.6,96.4,68.7,Yes
10.8,61.8,66.6,Yes
6.6,95.8,32.1,No
,54.2,54.3,No
9.6,70.4,84.8,Yes
2.2,82.7,73,No
13.8,94.1,74.4,No
7.6,86.4,79.6,Yes
-3.9,66.4,,No
9.9,65,56.6,No
6.3,110.6,77.7,Yes
18.4,80.5,81.7,No
7.1,65.5,83.5,Yes
4.5,85.8,55.4,No
12.5,87.5,74.9,No
6.7,47.9,63.3,No
6.1,84.7,75.6,Yes
12.5,,63.6,No
4.8,62.1,64.6,Yes
2.7,55.3,77,No
18.6,72.4,60.1,No
12.9,66.3,,Yes
8.7,71,80.9,Yes
10,37.1,71.2,Yes
12.5,73.5,50.2,No
14.9,53,82.4,No
6.2,120.7,86.9,No
11.8,67,69.5,Yes
7.5,69.8,60.2,No
9.1,88.9,89.2,Yes
10.8,101.4,88.2,Yes
10,51.4,51.7,Yes
13.7,86.5,61,Yes
12.4,94.3,64.2,No
2.5,78.7,89.6,No
3.2,78.3,78.4,No
8.2,64.8,60.2,No
,68.6,64.9,Yes
5.7,72.8,63.4,No
9,66.5,53.6,No
7.3,92.8,72.8,Yes
,57.6,71.8,No
10.9,92.1,73.9,No
17,101.6,68.3,Yes
12.3,82.4,48.7,No
6,39.2,55.5,No
23.8,87.2,66,No
10.4,62.1,78.5,Yes
7.1,64.4,69.2,Yes
17.1,82.2,,Yes
7.7,97.1,34.7,No
18.3,,64.4,Yes
5.6,76.2,71.1,No
17.2,114.8,76.9,No
11,53,91.3,Yes
16.5,71,81.9,No
19.5,62.7,74.2,No
4.3,89.1,56.9,No
16.4,50,86.7,Yes
3,43.6,48.8,Yes
,91.6,81.4,nan
6,79.8,93.3,Yes
12.5,51.3,86,Yes
10.2,73.6,59.2,No
9.2,49.4,40.3,No
10.7,93.4,53.8,Yes
13,80.6,65.7,No
,60.7,60.8,nan
,63.4,68.6,Yes
19.1,65.8,37.8,Yes
9.9,53.5,76.9,Yes
7.4,101.8,55.7,No
13.1,98.3,65,No
4.3,67,57.8,No
6.6,68.7,76.2,Yes
15,52.5,56.5,No
9.4,71.8,39.3,Yes
4,84.8,73.4,Yes
2.6,98.6,41.1,No
10.2,57.1,62.4,Yes
,41.3,81.3,No
15.6,54.9,73.6,No
10.6,86.1,65.4,Yes
20,74.1,66,No
9.5,94.8,49.2,No
9.3,75.8,71.1,Yes
-2.8,107.3,72.4,No
7.8,43.3,68.2,No
14.3,25.2,65.1,No
17.8,102.1,62.9,Yes
5.8,59.1,76.9,No
12.3,77.8,55.8,Yes
15.2,77.7,44.9,Yes
10.1,81.5,78.6,No
-1.4,65.5,45.2,Yes
11.2,56,53.9,No
13.8,54.4,71.4,No
5.3,87.1,70,nan
8.7,90.4,62.6,No
4.2,70,86.1,No
-2.9,63.1,79.6,nan
15.1,86.4,63.4,Yes
,45.4,56.6,Yes
18,114,69,Yes
14.3,84,67.8,No
8.2,71.8,82.8,Yes
9.6,91.6,62,Yes
12.8,87.6,80.4,No
14.8,79.7,45,No
11.6,37.2,70.3,Yes
15.5,83.2,54.4,Yes
8.5,104.1,65.1,Yes
5,63.9,61.7,Yes
9.7,94.2,48.3,Yes
,92,54,No
4,80.9,58.1,No
3.3,78.4,91.2,Yes
12.2,86.2,57,Yes
8,83.3,36.6,nan
9.2,,53.9,No
8.2,,38.6,Yes
17.6,89.1,49.3,Yes
,96.1,28.4,Yes
3.8,89.2,55.7,Yes
7.3,33.4,,No
,72.7,58.8,No
13,62.6,59.6,Yes
9.8,81.6,103.3,No
4.3,63.9,56,Yes
6.6,86.8,68.3,No
7.4,66.6,66.6,No
11.4,109,68.8,Yes
18.5,108,55.9,Yes
6.6,46.1,76.5,No
4.9,81.5,82.8,No
,65.8,66,No
15.2,80,82.5,No
2.8,86.7,73.1,Yes
-1,49.4,67.5,Yes
9.1,55.5,49.5,Yes
6.3,58,63.2,No
2,64,79.9,Yes
13.5,64.6,59.2,Yes
9.1,90.9,66.2,No
10.9,79.4,48.9,No
5.5,57.6,70.6,No
8.4,68.6,72,Yes
7.6,27.6,100.2,No
9.5,115.4,,Yes
6.7,75.4,69.5,No
,94.9,,Yes
23.6,90.9,63.7,No
3.2,74.3,60.5,No
10.9,27.4,85.4,No
1.1,63.8,57.3,Yes
0,82.1,82.2,No
,76.2,63.7,No
10.9,95.8,52.4,No
16.3,75,56.6,No
12,111.8,54.6,No
,53.8,57,No
5.3,85.4,46.9,Yes
,54.4,53.8,Yes
14.6,93.3,27.8,Yes
3.8,59.9,,No
10.2,39.9,56.6,No
10.7,45.3,61.7,Yes
8.3,65.6,52.6,No
13.9,106.2,85.4,No
14.2,89.8,36.8,No
9,83.9,79,No
8.6,73.7,41.4,Yes
17.5,52.5,53.9,Yes
14.7,56.3,70.5,No
10.4,64,94.2,No
1.9,62.2,76.7,Yes
11.7,61.9,26.3,Yes
13.5,,,Yes
-3.8,75.1,52.9,Yes
11.3,60,101,No
7.9,,69.7,No
8.9,97.4,79.3,Yes
5.5,87,,No
9.3,84.7,51,No
17,,64.3,Yes
7.8,120.8,53.7,Yes
14.8,69.4,69.9,No
6,90.9,58.3,Yes
13.8,,64.6,No
10,54.2,79.5,nan
11.8,62.4,65.5,No
10,83,61,No
13.2,44.1,54.4,Yes
-2.8,73.2,57.1,Yes
2.9,27.1,75.6,No
12.1,75.2,62.9,No
-0.2,102.5,50.6,No
7.3,75,59,Yes
9.7,45.7,77.5,Yes
5.9,63.9,60.2,No
6.5,87.3,26.5,Yes
11.4,78.3,78.6,Yes
15,84,61.3,No
5.2,71.6,,No
7.1,59.7,58.9,No
6.3,77.5,72.2,Yes
-2.1,76.4,73.6,Yes
10.7,95.5,53.9,Yes
14.7,65.6,45,nan
15.1,76,47.8,No
5.6,72.1,68,No
,120.5,62.7,No
10.1,59.9,64.7,Yes
14.1,67.3,71.4,Yes
10.8,55.9,60.1,Yes
11.4,101.1,58.2,No
15.7,102.6,52.6,Yes
6.3,70.7,,No
8.9,98.7,90.5,nan
18.2,81.6,57.5,Yes
9,89,71.7,Yes
3.7,55.1,84.8,Yes
6.7,78.2,54.9,No
5.3,112.4,91.3,Yes
11.8,104.5,51,No
5.5,91.1,73.3,Yes
11.4,94,48.3,No
6.3,123.7,72.9,No
-0.6,90.7,55.2,No
11.5,61.8,30.4,No
10.7,99.3,85.9,No
12.6,73.5,68.1,No
6.6,84.8,56.9,No
6.1,77.4,61.5,Yes
12,60.8,,No
17.6,81.2,59.6,Yes
,94.3,59.2,Yes
12.1,,62.9,No
8.4,84.6,94.8,No
2.3,71,30.8,nan
14.8,41.8,34.8,No
14.5,74.1,71.7,Yes
13.6,86.1,26.2,Yes
9.1,31.8,57.5,Yes
13,73.7,53.2,No
14.5,73.1,64.4,Yes
18.1,56.7,55.6,Yes
,90.2,62.8,No
10.3,93.9,,Yes
3.5,111.3,46.1,No
10.8,,61,No
,150,72.7,Yes
13.5,58.6,74.5,No
16.8,67.6,67.7,Yes
9.5,88.6,84.1,Yes
20.5,61.9,66.3,Yes
1.2,71.8,77.3,Yes
12.1,91.8,61,No
6,74.9,71.9,Yes
0.5,56.6,94.4,No
9,63.2,67.7,nan
2.7,69.5,83,No
9.2,86.8,65.2,No
10.2,68.5,46.2,No
15.6,26,67.4,Yes
2.5,,73,No
14.5,87.9,77.7,No
10.5,53.7,54.8,Yes
15.1,52.3,121.5,Yes
7.8,102,81.2,Yes
3.3,70.2,83.8,Yes
3.9,90.1,78.2,No
3.5,61.1,52.4,Yes
12.4,88.1,58.7,No
17.4,56.5,73.4,Yes
7.2,83.4,37.3,No
13.1,82.1,57.9,No
2.4,33.7,57.4,nan
10.9,77.5,74.1,No
13.3,60.6,,Yes
2.8,96.9,95.2,Yes
9,79.7,113.4,Yes
13.6,70.1,71.5,Yes
-4.7,105.4,,No
16.7,36.9,,Yes
11.8,113.5,56.9,No
13.6,112.5,50.9,No
7.9,67.2,70.1,Yes
1.4,92.8,54.9,No
12.7,84.7,80.2,No
9.6,25.3,55.4,No
10.2,72.8,68.3,nan
15.4,49.7,52.1,No
13.8,47.9,51.1,Yes
19.6,69.3,86.7,No
,70,58.1,Yes
6.5,99.3,58.9,nan
9.1,60,55.3,Yes
12.1,,57.5,Yes
15.1,102.3,63.4,nan
2.7,71.3,34.6,Yes
10,64.7,77.2,No
,92.1,70.9,Yes
8.8,85.6,78.2,No
14.7,77,84.4,No
12.5,,67.2,Yes
14.8,50,66.6,Yes
6,63.4,74,Yes
6,115,45.3,Yes
10.1,14.3,59.6,nan
2.3,61.5,79.7,No
8.7,51.3,78,Yes
11.3,76.4,98,Yes
18.9,87.1,63.9,Yes
12,97.1,83.3,Yes
13.1,66.8,64.1,No
15.8,56.5,48.5,Yes
5.2,46,67.7,No
9.2,76,61.7,No
22.1,117.5,58.7,No
9.6,63.2,48.9,Yes
15.6,73.6,61.1,Yes
14.8,,52.4,No
2.6,66.5,94.8,Yes
11.6,103.5,78.6,Yes
10.7,99.2,47.5,Yes
11.6,91.4,56,Yes
,94.2,59.1,No
4.4,61.3,61.9,No
7.6,52,52.4,No
9.5,61.5,63.3,Yes
15.9,80.6,80.2,No
,68.5,59.5,No
17,86.4,47.1,No
14.3,77.2,34.7,Yes
5,48.2,35.6,No
8,,69.3,No
11,64.8,66.9,Yes
6.8,90.7,62,Yes
12.9,58,56.3,Yes
13.6,57.4,58.6,No
12.7,56.4,68.9,No
15.1,46.4,56.1,Yes
5.5,46.8,65.7,No
14.7,82.6,61.2,Yes
6.5,56.4,66.5,No
5.3,81.9,32.3,No
12.7,77,77.1,No
16.1,92.6,69.2,No
12.4,54.6,57.9,Yes
10.1,96.2,60.3,Yes
11.6,56.9,72.9,No
10.7,20.2,63.1,No
4.4,78.8,74.1,Yes
3.8,57.5,66.7,No
9.6,105,79,No
10.4,81,,Yes
10.1,73.3,66.9,nan
13.4,79,38.3,Yes
8.9,65.1,50.5,Yes
12.8,108.7,44.7,No
9.3,64,62.6,No
19.1,84.3,59.9,Yes
10.4,,55.8,Yes
21.7,75,45,No
11.8,50.3,40,No
8.9,79.6,47.9,No
5.5,76.3,,No
2.8,86,65.4,nan
5,84.4,51.1,Yes
5.6,75.6,63.5,No
12,115.8,68.9,No
7.4,74.6,66.5,No
10.9,75.8,56.9,No
16.4,73.3,56.9,Yes
9.6,79.1,58,No
20.4,69.3,83.1,No
4.1,67.6,73.9,No
9.2,90,84.3,Yes
7.3,74,66.7,No
14.7,,50.2,Yes
-1.2,37.1,84.4,No
2.8,105.5,60.1,No
9.5,92.9,48.3,Yes
17.8,74,50.5,No
11.1,73.4,75.3,Yes
3.2,87.8,67.1,Yes
4,54.5,54.1,Yes
18.4,75.8,54,No
6.9,78.1,105.5,Yes
5.3,,71.7,Yes
,82,62.3,No
15.1,48,71.8,No
16.4,96.7,36.4,Yes
5.2,,50.6,No
2.4,105.2,52.8,No
10.7,68.6,84.8,No
11.7,68.3,35.3,No
11.8,35.5,50.8,No
17.4,88.6,65.6,No
1.3,44.8,58.1,No
14.3,46,50.3,No
4.5,68.9,60.8,No
14.3,52.9,89.4,Yes
7.6,,78,No
,75.9,40.2,Yes
7,92.6,66.2,Yes
2.8,85.8,38.5,No
10.2,78.8,69,Yes
6.1,97.9,78.8,Yes
13.9,77.6,44.5,Yes
13.2,64.5,70.6,Yes
18.4,59.6,87.7,Yes
11.8,86,32.2,nan
12.6,53,66.5,Yes
17,82,67.2,Yes
6.9,66.4,63.4,No
2.6,58.2,49.2,No
11,57.9,69.4,Yes
2.9,,59,No
22.3,57.8,68.7,Yes
17.3,69.4,54.2,Yes
20.8,65.6,65.5,No
10.3,96.2,104.8,Yes
12.8,105.8,41.8,Yes
7.7,93.2,21.5,Yes
14.4,67.5,67,Yes
3.9,81.8,60.1,No
-2.7,56.8,62,Yes
6,79.2,49.4,No
2.7,39.9,70.7,Yes
17.4,79.7,,Yes
19.1,73.9,54.2,Yes
3,83.8,79.5,Yes
16.5,74.8,69.2,No
14.8,91.7,71.2,No
2.2,59.7,67.6,No
8,90.1,58.3,No
7.1,84.4,75,Yes
13.7,96.8,56.6,No
3.9,98.1,79.7,No
9.5,56,,No
6.6,85.3,62,Yes
12.4,51.7,,No
8.9,98.2,64.7,No
7.3,57.9,81.8,No
8.9,67.4,57.5,No
20.2,79.4,67,Yes
7.9,89.8,61.5,Yes
4.8,82.4,59.2,Yes
12.9,90.3,89.8,nan
9.3,75.2,78.8,No
2.9,79.9,53.1,Yes
21.2,39.7,34.5,No
8.2,95.5,72,Yes
8.1,69.2,52.3,No
10.8,66.4,68.7,Yes
18.7,113.7,61.5,No
1.6,20.8,84.1,No
11.4,,62.5,No
20.4,30.2,68.2,No
10.6,81.8,97.8,Yes
3.8,61,82.7,No
6.9,16.3,38.3,nan
11,96.8,60.7,No
16.7,49.2,56.8,No
8.3,94,73.7,No
14.1,55.5,56.5,Yes
2.8,65.7,41.8,Yes
2.8,29.3,66.6,No
7.6,83.5,79.3,Yes
17.2,63.5,62.7,Yes
10.3,67.7,61.7,Yes
11.4,73.1,63.6,Yes
11.4,42,53.6,No
15.5,88.8,,Yes
6.9,63.7,60.5,Yes
13.4,120.9,74,Yes
5.8,65.4,82.9,Yes
19.9,67.2,76.2,No
6,47.9,58.6,Yes
5.6,42.7,37,Yes
12.7,92.6,,No
10.4,96.2,74.6,Yes
11.6,,79.6,No
11.1,77.4,61.5,Yes
4.5,99.8,56.3,No
18.1,80.8,46.9,No
14.5,84.7,77.2,No
16.8,76.7,42.1,Yes
7.4,61.9,78.3,Yes
12.1,,56.3,Yes
11,112.3,47.5,No
15.6,64.6,85.9,No
15.8,,46.4,No
11,78.6,43.4,Yes
2.4,63.2,94.6,Yes
18.9,92.9,73.9,Yes
12.8,90.6,71.1,Yes
7,86.6,68.4,nan
12,110,,Yes
2.4,111.7,57.5,Yes
15.3,,91,Yes
2.6,72.9,63.6,Yes
8.9,46.5,55.1,No
11.2,105.7,85.1,Yes
15.2,73.5,53.8,Yes
10.5,62.8,72,Yes
13.2,56.3,85.7,Yes
9.9,56.2,62.3,No
9.8,110.2,,Yes
10.4,93,78.2,No
9.1,45.2,84.2,Yes
1.6,46,65.3,Yes
6.2,,61.7,No
11.2,54.7,64.7,Yes
8.8,70,66.4,Yes
9.2,106.1,59.8,Yes
8.4,96.4,91.4,Yes
5.7,40.8,68,Yes
7.5,54.8,65.3,Yes
8.5,79.9,76.7,Yes
10,97.6,58.7,No
12,58.6,61.3,Yes
9.1,,72.5,No
4.9,,64.4,No
3,110,76.3,Yes
23,87.4,60.3,No
4.4,71.1,71.2,Yes
7.4,,77.1,nan
12.6,53.8,80.3,Yes
11.8,24.5,35.3,No
12.6,80.4,69.5,No
7.8,88.3,77.7,No
11.2,89.3,50.6,No
10.3,62.7,81.1,nan
-1,100.6,68.2,Yes
11.2,106.7,58.5,Yes
,61.7,,Yes
9.9,98.6,77.4,Yes
9.9,77.8,32.7,No
15.3,64.5,89.3,nan
14.8,99.6,35.8,Yes
17.9,50.9,48.4,No
1.2,45.3,86.4,Yes
14.5,67.1,78.9,Yes
13,70.4,58.2,Yes
,42.1,80.4,Yes
11.3,84.8,70.1,Yes
,59.4,68.5,No
5.9,48.8,21.7,No
12.2,88,49.6,Yes
14.4,66.4,59.5,No
4.6,96.2,29.7,nan
9.3,84.2,76.6,No
11.5,71,64.1,nan
6,97,,No
5.6,83.4,57.3,Yes
9.3,74.6,43.8,Yes
14,85.2,50.2,nan
13.2,85.9,69.6,No
5.7,53.1,81.6,Yes
13.3,122.2,65.4,No
5.8,76.4,79.9,Yes
,76.8,64.9,No
8.2,39.9,74.5,Yes
15.6,77.6,90.8,Yes
,78.4,73.2,Yes
10,52,54,No
7.9,54.2,69,No
8.1,57,66.5,Yes
10.5,69.1,59.6,No
4.7,79.3,53,Yes
8.3,70.5,98.5,Yes
8.9,81.1,61,No
3.2,88.5,29.9,No
5.8,85.9,55.5,Yes
12.1,82.3,53.5,Yes
10,80.7,61.3,Yes
8.5,80.8,42.5,No
5.4,72.1,56.8,Yes
17.9,61.8,68.8,Yes
5.8,73.1,44.9,No
11.3,88.1,82.6,Yes
7.6,87.9,65.6,nan
10.2,85.2,67.6,nan
12.3,65.5,59,Yes
3.1,,68.3,Yes
10,70.7,76.5,No
16,62.9,68.6,No
18.8,92.9,82,No
9.3,38.2,67.1,No
10.2,115.4,77.6,Yes
21.1,116.5,71.4,Yes
15.7,76,33.7,No
6.9,83.1,51.8,Yes
6.9,92,52.6,Yes
14.8,59.8,53,Yes
4.9,86.4,48.8,No
15.4,101.4,82,Yes
11.7,38.9,87.7,No
12.6,46.2,40.4,Yes
8.7,90,76.9,No
6.9,69.6,74,Yes
17.3,67.3,98.4,No
8.8,68.5,,Yes
7.9,52.5,41.8,Yes
9.6,66.8,41.7,No
11,48.6,81.8,Yes
4.8,101.2,52.3,No
7.2,77.7,75.8,No
6.9,77.1,64.6,Yes
14.2,88.3,78.3,No
5.6,130.8,41.8,No
1.2,54,66,Yes
0.2,38.2,76.8,Yes
2.6,74.4,75.4,Yes
16.8,38.5,79.4,Yes
10.1,68.2,39.8,Yes
12.5,92.5,63.3,Yes
12.7,105.6,64.6,No
10.3,43.7,87,Yes
9.6,56.1,106.2,No
15.2,82.3,86.6,No
,90.1,78.4,Yes
17,91.2,71.7,Yes
13.1,104.5,65.5,No
6.9,89.6,84,Yes
7.5,72.6,68,No
,96.2,57.9,Yes
16.1,76.4,64.1,Yes
8,80.5,54.5,Yes
6,65.1,37.1,No
11.6,78.1,39.3,No
9.5,42.4,,Yes
11.5,95.7,34.3,No
19.4,54.8,47.7,No
14.6,57.2,72,Yes
10.1,28.5,53.7,No
3,58.5,46.5,No
7.5,55.8,48.3,Yes
13.6,79.3,82.9,No
4.1,49.1,77.4,Yes
20.7,66.1,52.5,Yes
10.1,61.4,72.4,Yes
,39.8,66.6,No
6.7,79.8,77.3,No
12.5,70.6,84.2,No
,75.8,39.1,No
,91.6,71.3,Yes
16.6,75.2,65.6,Yes
14.9,68.3,81.4,No
,93.5,39.2,No
11,68.5,45.7,No
16,64.9,66.4,Yes
13,88.4,60.9,Yes
5,59.4,70.3,Yes
6.7,98.3,40.4,Yes
7.7,78.2,82.9,Yes
7,106.4,67.7,nan
,73.8,67.7,Yes
0.4,94,62.8,No
13.3,,47.8,Yes
3.5,100.6,53.3,No
5.2,88.8,89.6,Yes
0,62.1,66.1,Yes
7.3,92.3,65.1,No
17.6,49.7,77.8,Yes
11.3,65.1,53.2,No
4,58,71.4,No
15.1,93.4,,nan
16.2,100,60.8,Yes
10.5,66,,No
20.2,49.6,74.9,No
14.1,55.5,73.3,No
13.4,76.8,53.6,Yes
6,75.6,72.1,No
13.1,68.2,48.1,No
11.1,58.4,54.6,No
12.6,107.6,70.7,Yes
6.6,62.6,68.8,Yes
10.6,58.3,48.8,Yes
5.9,97.9,70.3,No
-0.7,69.4,62.2,No
15,85.2,80.9,Yes
2.5,57.5,71.3,Yes
10.5,85.1,48,Yes
11.7,89.7,67.7,Yes
11.6,52.7,53.5,Yes
8.6,,,No
11.4,56.9,70.8,No
12.4,64.4,72.4,No
13.7,107,50.6,Yes
18.7,80.1,55.9,No
11.2,114,65.7,Yes
10.3,104.7,58.4,Yes
5.5,97.6,58.7,No
,104.1,49,Yes
13.3,98.2,70.6,Yes
9,109.1,55.2,No
12.7,85.9,60.1,Yes
8.5,,65.6,No
13.4,88.2,27.4,Yes
14.6,66.2,41,No
14.5,91.9,88.8,Yes
10.6,100.2,41.6,Yes
4.8,63,78.8,nan
6.9,,78.3,Yes
13,64,64.7,Yes
22.2,102.1,87.4,Yes
8.3,,77.3,No
12.3,52.9,68,No
-1,54.2,70.8,nan
5.1,56.9,79.3,Yes
6.6,60.7,71,No
-0.4,47,77.8,No
16.8,87.1,89.1,Yes
-1.2,71.2,83.8,Yes
8.7,85.7,,Yes
4.1,29.1,52.2,Yes
,96.4,65.7,No
16.9,73.4,96.1,No
11,85,47.3,Yes
5.2,105.4,61.8,Yes
7.1,82.4,63,Yes
6.2,117.2,52.3,No
9.8,37.4,66.8,Yes
10.9,68.6,56.4,No
19.5,38.9,64.2,Yes
0.4,81.3,62.5,Yes
9.8,76.5,65.5,nan
8.4,53.2,50.6,nan
14.7,118.5,57.4,Yes
11.8,67.8,62.6,Yes
13,30.9,64.5,Yes
11.7,88.6,65.1,Yes
5.3,88.9,73.9,No
16.1,65.4,48.5,Yes
14,90.8,61,No
14.6,56,51.1,No
16.3,66.7,49.5,Yes
12.1,82.9,70.2,No
17.4,93.5,66.2,Yes
11.9,70.5,56.9,No
8.9,65.4,56.1,Yes
10,74.2,45.4,No
9.9,34.1,80.8,Yes
7.4,,62.9,No
,35.4,40.7,No
11.5,58.2,66,Yes
10.5,46.6,53.6,No
11.9,85.6,55.9,Yes
24.9,60.4,79.8,Yes
4.3,99.8,61.4,No
5.8,38.1,89.9,Yes
3.1,70.1,110,Yes
8.8,76.7,85.6,No
11.2,84.8,49.1,Yes
7.7,118.1,86.1,Yes
7.3,35.7,56.4,No
10.7,59.8,72.5,No
7.5,114.9,85.7,Yes
11.6,56.6,48.2,Yes
15.6,83.8,66.8,No
13.4,56.2,66.8,No
14.4,47.1,51.9,Yes
15.4,58.7,37.8,No
11.4,114.6,75.7,Yes
9.2,51.7,43.8,Yes
6.1,69,74.8,No
8,69.9,62.1,No
7.4,93.3,85.1,No
,97.6,48,No
11.7,77.2,,Yes
13.5,11.2,96.4,Yes
,57.2,54.4,No
17.2,51,89.6,Yes
7.9,98.2,53.2,No
4.5,56.6,,Yes
7.8,108.7,52.2,Yes
22.4,83.2,72.8,Yes
8.1,97.7,46.1,No
8.4,120.1,56.9,No
9,56.1,57.4,Yes
9.3,42.6,54.3,nan
6.1,,87,No
10.7,94.1,53.4,Yes
15.4,61.7,66.8,No
11.6,75.7,92.8,No
4.4,99.3,68.7,Yes
8.3,97.4,,Yes
7.2,,95.4,No
10.3,80.4,81.7,No
16.7,56.3,84.3,Yes
9.3,46,85.2,Yes
9.6,102.2,63.6,nan
18.9,32.3,42.9,No
14.4,78.8,79.8,No
12.9,67.6,39.5,No
19.8,86,43.5,Yes
12.4,61.3,64.9,Yes
0.1,97.8,80.6,No
14.2,70.6,54.8,Yes
2,104,55.9,Yes
12.3,79.4,,No
1.4,54,78.9,nan
7.7,85.9,71.7,No
8.2,,87.2,No
6.1,72.9,74.1,No
8.3,60,48.2,Yes
15.2,92.2,46.9,Yes
6.4,55.7,62.7,No
12.7,57.8,60.8,No
5.2,85.5,96.6,Yes
9.1,70.8,63.3,Yes
11.6,,91.2,No
5,55.8,70.7,No
3.4,83.1,77.4,Yes
12.5,69.6,20.8,Yes
15.6,73,100.5,Yes
9.6,80.2,53.7,Yes
-1,84.1,81.7,No
10.8,77.3,41.3,No
10.3,8.4,89.9,No
11.2,73.9,41.5,Yes
-2.6,64.7,50.2,Yes
4.7,75.6,58.1,No
5.8,96.4,59.2,Yes
10.8,,60,No
10.9,76.4,70.6,No
13.2,84.5,48.9,No
11.3,68.8,69.9,No
3.5,48.8,90.8,nan
17.2,50.9,49,No
16.4,74.3,63.4,Yes
3.7,62.6,77.7,No
11.7,36.4,39.3,No
7,59,45.6,No
10.7,49,73,No
15.3,90,59.9,No
20.7,45.3,68.3,Yes
13.8,103.4,71.2,Yes
11.5,118.2,39.9,Yes
8.3,60.2,91.1,No
10.9,62.7,63.4,No
,93.9,64,No
9.8,96.7,62.1,Yes
5.6,65.2,73.3,Yes
1.9,66.2,76.3,No
12.6,66.4,21.2,nan
11.2,58,77,Yes
6.8,93.2,45.9,Yes
15.1,78.1,57,No
7.9,60.5,48.8,Yes
9.3,76.3,56.6,Yes
9.9,67.4,59.6,Yes
8.2,,61.6,Yes
11.2,70,40,No
15.8,89.8,65.1,Yes
4.3,83.7,71.9,nan
12.4,72,63.6,Yes
10.9,83.8,56.3,No
10.8,79.2,50.8,Yes
14.4,124.7,24.5,No
10.2,73.1,72.4,Yes
,22.9,68.9,Yes
13.6,118.8,58.6,No
7.5,64.8,39.7,Yes
11.5,76.7,61.9,No
8.7,64.1,56.3,Yes
9.3,63,85,Yes
8.4,52.6,81.8,Yes
12.4,35,53,No
10.4,60.7,76,No
12,,48.2,No
9.9,42.1,84,Yes
2,85.1,67.7,No
10.2,121.4,96.1,Yes
10.3,80.7,54.4,Yes
11.2,47.2,,No
,83.1,86.9,Yes
4,94.2,,Yes
,101.1,44.4,Yes
8.6,78.8,76.3,Yes
10.9,87.1,50.1,No
,92,59.7,Yes
10,87,52.7,No
7.8,81.4,93.5,Yes
5.2,,65.7,Yes
